18.05.2017 03:08:59: DCF time = 03:09:00, PREV-NEW = -1, DURATION = 539
19.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
20.05.2017 08:08:59: DCF time = 08:09:00, PREV-NEW = -1, DURATION = 18539
21.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
22.05.2017 08:00:59: DCF time = 08:01:00, PREV-NEW = -1, DURATION = 18059
23.05.2017 18:41:58: DCF time = 18:42:00, PREV-NEW = -2, DURATION = 56518
24.05.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
01.01.1970 00:05:35: DCF time = 14:52:00, PREV-NEW = -1495982785, DURATION = 335
29.05.2017 07:43:59: DCF time = 07:44:00, PREV-NEW = -1, DURATION = 17039
30.05.2017 03:14:58: DCF time = 03:15:00, PREV-NEW = -2, DURATION = 898
31.05.2017 03:07:58: DCF time = 03:08:00, PREV-NEW = -2, DURATION = 478
01.06.2017 03:29:58: DCF time = 03:30:00, PREV-NEW = -2, DURATION = 1798
02.06.2017 03:13:58: DCF time = 03:14:00, PREV-NEW = -2, DURATION = 838
01.01.1970 00:11:49: DCF time = 17:56:00, PREV-NEW = -1496684651, DURATION = 709
06.06.2017 16:08:59: DCF time = 16:09:00, PREV-NEW = -1, DURATION = 47339
07.06.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
08.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
09.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
10.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
11.06.2017 03:08:58: DCF time = 03:09:00, PREV-NEW = -2, DURATION = 538
12.06.2017 07:58:58: DCF time = 07:59:00, PREV-NEW = -2, DURATION = 17938
13.06.2017 04:07:58: DCF time = 04:08:00, PREV-NEW = -2, DURATION = 4078
14.06.2017 03:31:58: DCF time = 03:32:00, PREV-NEW = -2, DURATION = 1918
16.06.2017 01:56:32: DCF time = 01:57:00, PREV-NEW = -28, DURATION = 1497578192
16.06.2017 03:41:59: DCF time = 03:42:00, PREV-NEW = -1, DURATION = 2519
17.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
18.06.2017 09:39:58: DCF time = 09:40:00, PREV-NEW = -2, DURATION = 23998
19.06.2017 03:04:58: DCF time = 03:05:00, PREV-NEW = -2, DURATION = 298
20.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
21.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
22.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
23.06.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
24.06.2017 03:39:58: DCF time = 03:40:00, PREV-NEW = -2, DURATION = 2398
25.06.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
26.06.2017 03:45:58: DCF time = 03:46:00, PREV-NEW = -24105602, DURATION = 2758
27.06.2017 06:01:55: DCF time = 06:02:00, PREV-NEW = -5, DURATION = 10915
28.06.2017 03:24:58: DCF time = 03:25:00, PREV-NEW = -2, DURATION = 1498
29.06.2017 03:48:58: DCF time = 03:49:00, PREV-NEW = -2, DURATION = 2938
30.06.2017 03:05:58: DCF time = 03:06:00, PREV-NEW = -2, DURATION = 358
01.01.1970 00:04:47: DCF time = 22:50:00, PREV-NEW = -1498949113, DURATION = 287
02.07.2017 12:08:59: DCF time = 12:09:00, PREV-NEW = -1, DURATION = 32939
03.07.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
04.07.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
01.01.1970 00:03:34: DCF time = 17:08:00, PREV-NEW = -1500483866, DURATION = 214
20.07.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
21.07.2017 16:01:57: DCF time = 16:02:00, PREV-NEW = -3, DURATION = 46918
22.07.2017 11:01:59: DCF time = 11:02:00, PREV-NEW = -1, DURATION = 28919
23.07.2017 04:09:59: DCF time = 04:10:00, PREV-NEW = -1, DURATION = 4199
24.07.2017 03:03:58: DCF time = 03:04:00, PREV-NEW = -2, DURATION = 238
25.07.2017 05:07:58: DCF time = 05:08:00, PREV-NEW = -2, DURATION = 7678
27.07.2017 02:10:57: DCF time = 02:11:00, PREV-NEW = -3, DURATION = 83457
27.07.2017 22:41:59: DCF time = 22:42:00, PREV-NEW = -1, DURATION = 70919
28.07.2017 10:09:59: DCF time = 10:10:00, PREV-NEW = -1, DURATION = 25799
29.07.2017 03:06:58: DCF time = 03:07:00, PREV-NEW = -2, DURATION = 418
01.01.1970 00:01:04: DCF time = 19:49:00, PREV-NEW = -1501444076, DURATION = 64
31.07.2017 03:14:58: DCF time = 03:15:00, PREV-NEW = -2, DURATION = 899
01.08.2017 03:07:59: DCF time = 03:08:00, PREV-NEW = -1, DURATION = 479
02.08.2017 03:09:59: DCF time = 03:10:00, PREV-NEW = -1, DURATION = 599
03.08.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
04.08.2017 03:03:59: DCF time = 03:04:00, PREV-NEW = -1, DURATION = 239
05.08.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
06.08.2017 03:15:58: DCF time = 03:16:00, PREV-NEW = -2, DURATION = 958
07.08.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
08.08.2017 03:49:58: DCF time = 03:50:00, PREV-NEW = -2, DURATION = 2998
09.08.2017 07:38:58: DCF time = 07:39:00, PREV-NEW = -2, DURATION = 16738
10.08.2017 05:02:59: DCF time = 05:03:00, PREV-NEW = -1, DURATION = 7379
12.08.2017 18:09:56: DCF time = 18:10:00, PREV-NEW = -4, DURATION = 140996
13.08.2017 19:01:58: DCF time = 19:02:00, PREV-NEW = -2, DURATION = 57718
16.08.2017 23:41:56: DCF time = 23:42:00, PREV-NEW = -4, DURATION = 247316
17.08.2017 04:08:59: DCF time = 04:09:00, PREV-NEW = -1, DURATION = 4139
18.08.2017 03:40:58: DCF time = 03:41:00, PREV-NEW = -2, DURATION = 2458
19.08.2017 03:03:58: DCF time = 03:04:00, PREV-NEW = -2, DURATION = 238
01.01.1970 00:01:36: DCF time = 17:18:00, PREV-NEW = -1503162984, DURATION = 96
01.01.1970 00:05:41: DCF time = 19:15:00, PREV-NEW = -1503169759, DURATION = 341
20.08.2017 10:57:58: DCF time = 10:58:00, PREV-NEW = -2, DURATION = 28678
21.08.2017 12:53:58: DCF time = 12:54:00, PREV-NEW = -2, DURATION = 35638
22.08.2017 04:29:59: DCF time = 04:30:00, PREV-NEW = -1, DURATION = 5399
23.08.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
24.08.2017 16:49:58: DCF time = 16:50:00, PREV-NEW = -2, DURATION = 49798
25.08.2017 03:19:58: DCF time = 03:20:00, PREV-NEW = -2, DURATION = 1199
26.08.2017 11:04:58: DCF time = 11:05:00, PREV-NEW = -2, DURATION = 29098
27.08.2017 12:09:58: DCF time = 12:10:00, PREV-NEW = -2, DURATION = 32998
01.01.1970 00:11:32: DCF time = 17:13:00, PREV-NEW = -1503853288, DURATION = 692
28.08.2017 04:07:59: DCF time = 04:08:00, PREV-NEW = -1, DURATION = 4079
30.08.2017 03:01:57: DCF time = 03:02:00, PREV-NEW = -3, DURATION = 86517
31.08.2017 03:49:58: DCF time = 03:50:00, PREV-NEW = -2, DURATION = 2998
01.09.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
02.09.2017 14:00:58: DCF time = 14:01:00, PREV-NEW = -2, DURATION = 39658
